"","gender","numYears","numRaters","numCourses","pepper","discipline","quality","helpfulness","clarity","easiness","raterInterest","area"
"46","male",11,45,8,"no","Hum",3.388888889,3.711111111,3.111111111,2.844444444,3.185185185,"Midwest"
"174","female",11,31,4,"no","SocSci",2.435483871,2.451612903,2.419354839,1.870967742,3.357142857,"Midwest"
"241","male",11,32,5,"no","STEM",4.015625,3.9375,4.09375,4.40625,2.28125,"Midwest"
"296","female",2,17,5,"no","STEM",2.35294117647059,2.41176470588235,2.29411764705882,2,2.47058823529412,"Midwest"
"312","male",10,21,5,"yes","Pre-prof",4.90476190476191,4.85714285714286,4.95238095238095,4.80952380952381,3.89473684210526,"Midwest"
"122","female",11,16,6,"no","Hum",2.4375,2.375,2.5,3.1875,3.0625,"Midwest"
"201","male",8,32,4,"yes","STEM",4.921875,5,4.84375,3.8125,2.9,"Midwest"
"225","male",11,14,1,"no","STEM",3.821428571,4.071428571,3.571428571,3.214285714,3.357142857,"Midwest"
"354","female",9,53,4,"no","Pre-prof",3.58490566037736,3.41509433962264,3.75471698113208,3.0377358490566,2.825,"Midwest"
"18","male",11,19,7,"no","Hum",4.18421052631579,4.36842105263158,4,3.63157894736842,3.52631578947368,"Midwest"
"282","female",11,18,5,"no","STEM",2.75,2.777777778,2.722222222,2.444444444,3.588235294,"Midwest"
"88","female",4,13,5,"no","Hum",3.461538462,3.307692308,3.615384615,2.923076923,3.153846154,"Midwest"
"91","female",11,15,3,"no","Hum",2.2,2,2.4,2.4,2.769230769,"Midwest"
"249","male",11,30,3,"no","STEM",4.066666667,3.9,4.233333333,2.933333333,3.413793103,"Midwest"
"253","male",11,65,3,"no","STEM",1.91538461538462,2.07692307692308,1.72307692307692,2.10769230769231,2.12280701754386,"Midwest"
"223","male",11,62,5,"no","STEM",3.33870967741935,3.64516129032258,3.04838709677419,3.19354838709677,2.79661016949153,"Midwest"
"85","female",11,12,3,"yes","Hum",4.458333333,4.5,4.416666667,4.166666667,3.75,"Midwest"
"49","male",11,16,3,"no","Hum",2.25,2.0625,2.4375,2.8125,3.2,"Midwest"
"327","male",11,24,3,"yes","Pre-prof",4.5625,4.791666667,4.333333333,3.666666667,3.863636364,"Midwest"
"118","female",9,36,6,"no","Hum",3.833333333,3.805555556,3.861111111,2.638888889,3.166666667,"Midwest"
"194","female",11,24,2,"no","SocSci",4.08333333333333,3.95833333333333,4.20833333333333,3.33333333333333,2.70833333333333,"Midwest"
"61","male",9,13,6,"no","Hum",3.53846153846154,3.46153846153846,3.61538461538462,3.23076923076923,3.8,"Midwest"
"120","female",11,26,5,"no","Hum",3.442307692,3.346153846,3.5,4.038461538,1.098039216,"Midwest"
"182","female",1,32,4,"no","SocSci",2.171875,2.4375,1.90625,4.09375,3.28125,"Midwest"
"197","female",11,32,4,"no","SocSci",3.34375,3.21875,3.46875,2.71875,2.586207,"Midwest"
"180","female",4,27,3,"no","SocSci",2,1.962962963,2.037037037,3.185185185,2.740740741,"Midwest"
"181","female",11,35,3,"no","SocSci",3.742857143,3.714285714,3.771428571,2.885714286,3.483870968,"Midwest"
"230","male",6,40,6,"no","STEM",2.2875,2.45,2.125,1.9,3.375,"Midwest"
"294","female",7,30,4,"no","STEM",4.233333333,4.366666667,4.1,2.933333333,3.366666667,"Midwest"
"184","female",11,51,3,"no","SocSci",3.68627451,3.68627451,3.68627451,2.764705882,3.5,"Midwest"
"231","male",11,13,3,"no","STEM",3.038461538,3.384615385,2.692307692,2.230769231,4,"Midwest"
"156","male",8,67,4,"no","SocSci",4.216418,4.1044774,4.328358,2.5373135,3.5,"Midwest"
"259","male",8,20,6,"no","STEM",3.95,3.9,4,3.2,2.95,"Midwest"
"127","female",7,16,5,"yes","Hum",4.625,4.8125,4.4375,3.0625,4.5333333,"Midwest"
"14","male",10,34,2,"yes","Hum",4.8382354,4.8235292,4.852941,4.6764708,4.71875,"Midwest"
"311","male",2,10,2,"no","Pre-prof",4.2,4.6,4.2,2.4,3.9,"Midwest"
"162","male",11,56,6,"no","SocSci",2.53571428571429,2.44642857142857,2.625,2.5,2.36585365853659,"Midwest"
